Object ID,Digital ID,Title,Object Title,Alternative Title,Creator,Contributor,Summary,Note,Subject,Genre,Publisher,Date,Approximate Date,Coverage Temporal,Coverage Spatial,Language,Repository,Collection Title,Collection No.,Series,Container,Rights,Standardized Rights Statement
asm0341001004,,Tours inside Japan,Tours inside Japan,,"Pan American World Airways, Inc.",,,,,Promotional materials; Brochures;,,1952,,1950-1959,Japan,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"This material is in the public domain in the United States. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/NoC-US/1.0/
asm0341001004,asm03410010040001001,Page 1,Tours inside Japan,,,,,,,,,,,,,,,,,,,,
asm0341001004,asm03410010040002001,Page 2,Tours inside Japan,,,,,,,,,,,,,,,,,,,,
asm0341001005,,"Hong Kong, Japan & Peoples Republic of China","Hong Kong, Japan & Peoples Republic of China",,"Pan American World Airways, Inc.",,,,,Travel guidebooks;,,1979,,1970-1979,Hong Kong (China); Japan; China,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"This material is protected by copyright. Use for education purposes is permitted. Copyright was originally held by Pan American World Airways, Inc., but was transferred to the University of Miami. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/InC-EDU/1.0/
asm0341001005,asm03410010050001001,Page 1,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050002001,Page 2,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050003001,Page 3,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050004001,Page 4,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050005001,Page 5,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050006001,Page 6,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050007001,Page 7,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050008001,Page 8,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050009001,Page 9,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050010001,Page 10,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050011001,Page 11,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050012001,Page 12,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050013001,Page 13,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050014001,Page 14,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050015001,Page 15,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050016001,Page 16,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050017001,Page 17,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050018001,Page 18,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050019001,Page 19,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050020001,Page 20,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050021001,Page 21,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050022001,Page 22,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050023001,Page 23,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050024001,Page 24,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050025001,Page 25,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050026001,Page 26,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050027001,Page 27,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050028001,Page 28,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050029001,Page 29,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050030001,Page 30,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050031001,Page 31,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001005,asm03410010050032001,Page 32,"Hong Kong, Japan & Peoples Republic of China",,,,,,,,,,,,,,,,,,,,
asm0341001006,,Tours inside Japan : 1957 edition,Tours inside Japan : 1957 edition,,"Pan American World Airways, Inc.",,,,,Promotional materials; Brochures;,,1957,,1950-1959,Japan,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"This material is in the public domain in the United States. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/NoC-US/1.0/
asm0341001006,asm03410010060001001,Page 1,Tours inside Japan : 1957 edition,,,,,,,,,,,,,,,,,,,,
asm0341001006,asm03410010060002001,Page 2,Tours inside Japan : 1957 edition,,,,,,,,,,,,,,,,,,,,
asm0341001007,,"Fly to Japan by double-decked ""Strato"" clipper","Fly to Japan by double-decked ""Strato"" clipper",,"Pan American World Airways, Inc.",,,,,Promotional materials; Booklets,,1952,,1950-1959,Japan,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"This material is protected by copyright. Use for education purposes is permitted. Copyright was originally held by Pan American World Airways, Inc., but was transferred to the University of Miami. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/InC-EDU/1.0/
asm0341001007,asm03410010070001001,Page 1,"Fly to Japan by double-decked ""Strato"" clipper",,,,,,,,,,,,,,,,,,,,
asm0341001007,asm03410010070002001,Page 2,"Fly to Japan by double-decked ""Strato"" clipper",,,,,,,,,,,,,,,,,,,,
asm0341001007,asm03410010070003001,Page 3,"Fly to Japan by double-decked ""Strato"" clipper",,,,,,,,,,,,,,,,,,,,
asm0341001007,asm03410010070004001,Page 4,"Fly to Japan by double-decked ""Strato"" clipper",,,,,,,,,,,,,,,,,,,,
asm0341001007,asm03410010070005001,Page 5,"Fly to Japan by double-decked ""Strato"" clipper",,,,,,,,,,,,,,,,,,,,
asm0341001007,asm03410010070006001,Page 6,"Fly to Japan by double-decked ""Strato"" clipper",,,,,,,,,,,,,,,,,,,,
asm0341001008,,Pan Am Japan,Pan Am Japan,,"Pan American World Airways, Inc.",,,,,Postcards;,,,,,Japan,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001008,asm03410010080001001,Page 1,Pan Am Japan,,,,,,,,,,,,,,,,,,,,
asm0341001008,asm03410010080002001,Page 2,Pan Am Japan,,,,,,,,,,,,,,,,,,,,
asm0341001009,,Tokyo city map and guide,Tokyo city map and guide,,"Simplified Travel Inc.; Pan American World Airways, Inc.",,,,,Tourist maps;,,,,,Tokyo (Japan),eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"This material is protected by copyright. Use for education purposes is permitted. Copyright was originally held by Pan American World Airways, Inc., but was transferred to the University of Miami. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/InC-EDU/1.0/
asm0341001009,asm03410010090001001,Page 1,Tokyo city map and guide,,,,,,,,,,,,,,,,,,,,
asm0341001009,asm03410010090002001,Page 2,Tokyo city map and guide,,,,,,,,,,,,,,,,,,,,
asm0341001010,,Hong Kong city map and guide,Hong Kong city map and guide,,"Simplified Travel Inc.; Pan American World Airways, Inc.",,,,,Tourist maps;,,,,,Hong Kong (China),eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"This material is protected by copyright. Use for education purposes is permitted. Copyright was originally held by Pan American World Airways, Inc., but was transferred to the University of Miami. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/InC-EDU/1.0/
asm0341001010,asm03410010100001001,Page 1,Hong Kong city map and guide,,,,,,,,,,,,,,,,,,,,
asm0341001010,asm03410010100002001,Page 2,Hong Kong city map and guide,,,,,,,,,,,,,,,,,,,,
asm0341001011,,Businessman's briefing on world markets : Asia,Businessman's briefing on world markets : Asia,,"Pan American World Airways, Inc.",,,,,Promotional materials; Brochures;,,5/1/1972,,1970-1979,Asia,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"This material is in the public domain in the United States. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/NoC-US/1.0/
asm0341001011,asm03410010110001001,Page 1,Businessman's briefing on world markets : Asia,,,,,,,,,,,,,,,,,,,,
